director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
RichardLaGravenese,AnnaKendrick,JeremyJordan,CharlyBivona,comedy drama musical romance,The Last Five Years,AnnaKendrick JeremyJordan CharlyBivona RichardLaGravenese comedy drama musical romance
NoahBuschel,MerrittWever,AmyRyan,PaulAdelstein,drama,The Missing Person,MerrittWever AmyRyan PaulAdelstein NoahBuschel drama
BrianYuzna,MelindaClarke,KentMcCord,SarahDouglas,horror romance sci-fi,Return of the Living Dead III,MelindaClarke KentMcCord SarahDouglas BrianYuzna horror romance sci-fi
HunterRichards,JasonStatham,ChrisEvans,DaneCook,drama romance,London,JasonStatham ChrisEvans DaneCook HunterRichards drama romance
LaurieCollyer,BradWilliamHenke,KateBurton,MichelleHurst,drama,Sherrybaby,BradWilliamHenke KateBurton MichelleHurst LaurieCollyer drama
BruceMcCulloch,MartinStarr,MeganMullally,ChrisPenn,comedy crime,Stealing Harvard,MartinStarr MeganMullally ChrisPenn BruceMcCulloch comedy crime
AaronHann,JordiVilasuso,MichaelMcLafferty,KaiwiLyman-Mersereau,drama horror mystery sci-fi thriller,Circle,JordiVilasuso MichaelMcLafferty KaiwiLyman-Mersereau AaronHann drama horror mystery sci-fi thriller
JamesWatkins,MichaelFassbender,JackO'Connell,LorraineStanley,horror thriller,Eden Lake,MichaelFassbender JackO'Connell LorraineStanley JamesWatkins horror thriller
CatherineHardwicke,FrancesFisher,JamesKyson,MarleneForte,thriller,Plush,FrancesFisher JamesKyson MarleneForte CatherineHardwicke thriller
PhilClaydon,MyAnnaBuring,JamesCorden,SilviaColloca,action comedy fantasy horror,Vampire Killers,MyAnnaBuring JamesCorden SilviaColloca PhilClaydon action comedy fantasy horror
RalphZiman,RapulanaSeiphemo,KennethNkosi,RobertHobbs,action crime drama,Gangster's Paradise: Jerusalema,RapulanaSeiphemo KennethNkosi RobertHobbs RalphZiman action crime drama
JohnSimpson,ColinSalmon,LeeEvans,IanMcNeice,crime drama thriller,Freeze Frame,ColinSalmon LeeEvans IanMcNeice JohnSimpson crime drama thriller
ColinMinihan,MackenzieGray,SeanRogerson,AshleighGryzko,horror,Grave Encounters,MackenzieGray SeanRogerson AshleighGryzko ColinMinihan horror
ConorMcMahon,PeterMcQuinn,TommyKnight,JemmaCurran,comedy horror,Stitches,PeterMcQuinn TommyKnight JemmaCurran ConorMcMahon comedy horror
ChrisShadley,DanielBaldwin,WilliamLeeScott,MarcMacaulay,crime drama horror mystery thriller,Nine Dead,DanielBaldwin WilliamLeeScott MarcMacaulay ChrisShadley crime drama horror mystery thriller
SimonNapier-Bell,AliceCooper,TimRice,LouisWalsh,documentary,"To Be Frank, Sinatra at 100",AliceCooper TimRice LouisWalsh SimonNapier-Bell documentary
